COMET INFO:   Metrics [count] (min, max):
COMET INFO:     train_loss [5640]                                                                             : (0.4660390615463257, 0.6960039734840393)
COMET INFO:     validate_Phosphorylation-Y AUC PR [798]                                                       : (0.0841661521003683, 0.5057403275155785)
COMET INFO:     validate_Phosphorylation-Y AUC ROC [798]                                                      : (0.5036227690037114, 0.8021760380319125)
COMET INFO:     validate_Phosphorylation-Y F1 [798]                                                           : (0.11328976034858387, 0.5054115472017872)
COMET INFO:     validate_Phosphorylation-Y MCC [798]                                                          : (-0.02421319551122687, 0.36780706668626145)
COMET INFO:     validate_Phosphorylation-Y Validation Accuracy [798]                                          : (0.5500910746812386, 0.7214593020729216)
COMET INFO:     validate_Phosphorylation-Y Validation Precision [798]                                         : (0.07238307349665925, 0.3871938624963116)
COMET INFO:     validate_Phosphorylation-Y Validation Sensitivity [798]                                       : (0.2605210420841683, 0.8206919494344644)
COMET INFO:     validate_Phosphorylation-Y Validation Specificity [798]                                       : (0.5094043887147336, 0.7211112312182467)
COMET INFO:     avg_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Precision    : 0.20967741935483872
COMET INFO:     avg_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Sensitivity  : 1.0
COMET INFO:     avg_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Specificity  : 0.26865671641791045
COMET INFO:     avg_Phosphorylation-Y(species=tensor(12., device='cuda:0')) AUC PR                 : 0.06458333333333333
COMET INFO:     avg_Phosphorylation-Y(species=tensor(12., device='cuda:0')) AUC ROC                : 0.5625
COMET INFO:     avg_Phosphorylation-Y(species=tensor(12., device='cuda:0')) F1                     : 0.0
COMET INFO:     avg_Phosphorylation-Y(species=tensor(12., device='cuda:0')) MCC                    : 0.0
COMET INFO:     avg_Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Accuracy    : 0.9411764705882353
COMET INFO:     avg_Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Precision   : nan
COMET INFO:     avg_Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Sensitivity : 0.0
COMET INFO:     avg_Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Specificity : 1.0
COMET INFO:     avg_Phosphorylation-Y(species=tensor(13., device='cuda:0')) AUC PR                 : 0.14638631448225853
COMET INFO:     avg_Phosphorylation-Y(species=tensor(13., device='cuda:0')) AUC ROC                : 0.6353804557744303
COMET INFO:     avg_Phosphorylation-Y(species=tensor(13., device='cuda:0')) F1                     : 0.18205128205128207
COMET INFO:     avg_Phosphorylation-Y(species=tensor(13., device='cuda:0')) MCC                    : 0.1330884952469776
COMET INFO:     avg_Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Accuracy    : 0.31982942430703626
COMET INFO:     avg_Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Precision   : 0.10070921985815603
COMET INFO:     avg_Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Sensitivity : 0.9466666666666667
COMET INFO:     avg_Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Specificity : 0.2653534183082271
COMET INFO:     avg_Phosphorylation-Y(species=tensor(16., device='cuda:0')) AUC PR                 : 0.10421908033570881
COMET INFO:     avg_Phosphorylation-Y(species=tensor(16., device='cuda:0')) AUC ROC                : 0.5396825396825398
COMET INFO:     avg_Phosphorylation-Y(species=tensor(16., device='cuda:0')) F1                     : 0.16901408450704228
COMET INFO:     avg_Phosphorylation-Y(species=tensor(16., device='cuda:0')) MCC                    : -0.002889521799151183
COMET INFO:     avg_Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Accuracy    : 0.49572649572649574
COMET INFO:     avg_Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Precision   : 0.1016949152542373
COMET INFO:     avg_Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Sensitivity : 0.5
COMET INFO:     avg_Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Specificity : 0.49523809523809526
COMET INFO:     avg_Phosphorylation-Y(species=tensor(2., device='cuda:0')) AUC PR                  : 0.11285517866871182
COMET INFO:     avg_Phosphorylation-Y(species=tensor(2., device='cuda:0')) AUC ROC                 : 0.7151677978883861
COMET INFO:     avg_Phosphorylation-Y(species=tensor(2., device='cuda:0')) F1                      : 0.12368421052631579
COMET INFO:     avg_Phosphorylation-Y(species=tensor(2., device='cuda:0')) MCC                     : 0.11809676280843814
COMET INFO:     avg_Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Accuracy     : 0.2854077253218884
COMET INFO:     avg_Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Precision    : 0.06601123595505617
COMET INFO:     avg_Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Sensitivity  : 0.9791666666666666
COMET INFO:     avg_Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Specificity  : 0.24773755656108598
COMET INFO:     avg_Phosphorylation-Y(species=tensor(20., device='cuda:0')) AUC PR                 : 0.11607355200000233
COMET INFO:     avg_Phosphorylation-Y(species=tensor(20., device='cuda:0')) AUC ROC                : 0.5778906742281034
COMET INFO:     avg_Phosphorylation-Y(species=tensor(20., device='cuda:0')) F1                     : 0.12800000000000003
COMET INFO:     avg_Phosphorylation-Y(species=tensor(20., device='cuda:0')) MCC                    : -0.026086539479554076
COMET INFO:     avg_Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Accuracy    : 0.6423297785069729
COMET INFO:     avg_Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Precision   : 0.08311688311688312
COMET INFO:     avg_Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Sensitivity : 0.2782608695652174
COMET INFO:     avg_Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Specificity : 0.6802536231884058
COMET INFO:     avg_Phosphorylation-Y(species=tensor(3., device='cuda:0')) AUC PR                  : 0.11962187449282058
COMET INFO:     avg_Phosphorylation-Y(species=tensor(3., device='cuda:0')) AUC ROC                 : 0.6044505563195399
COMET INFO:     avg_Phosphorylation-Y(species=tensor(3., device='cuda:0')) F1                      : 0.20129032258064514
COMET INFO:     avg_Phosphorylation-Y(species=tensor(3., device='cuda:0')) MCC                     : 0.09427538119769924
COMET INFO:     avg_Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Accuracy     : 0.7324978392394123
COMET INFO:     avg_Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Precision    : 0.13780918727915195
COMET INFO:     avg_Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Sensitivity  : 0.37320574162679426
COMET INFO:     avg_Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Specificity  : 0.7681710213776722
COMET INFO:     avg_Phosphorylation-Y(species=tensor(4., device='cuda:0')) AUC PR                  : 0.15348229567224997
COMET INFO:     avg_Phosphorylation-Y(species=tensor(4., device='cuda:0')) AUC ROC                 : 0.6085661080074488
COMET INFO:     avg_Phosphorylation-Y(species=tensor(4., device='cuda:0')) F1                      : 0.17647058823529413
COMET INFO:     avg_Phosphorylation-Y(species=tensor(4., device='cuda:0')) MCC                     : 0.08820941244648885
COMET INFO:     avg_Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Accuracy     : 0.5670103092783505
COMET INFO:     avg_Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Precision    : 0.10344827586206896
COMET INFO:     avg_Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Sensitivity  : 0.6
COMET INFO:     avg_Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Specificity  : 0.5642458100558659
COMET INFO:     avg_Phosphorylation-Y(species=tensor(5., device='cuda:0')) AUC PR                  : 0.11102198455139634
COMET INFO:     avg_Phosphorylation-Y(species=tensor(5., device='cuda:0')) AUC ROC                 : 0.7884615384615384
COMET INFO:     avg_Phosphorylation-Y(species=tensor(5., device='cuda:0')) F1                      : 0.0
COMET INFO:     avg_Phosphorylation-Y(species=tensor(5., device='cuda:0')) MCC                     : -0.03268602252303067
COMET INFO:     avg_Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Accuracy     : 0.9272727272727272
COMET INFO:     avg_Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Precision    : 0.0
COMET INFO:     avg_Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Sensitivity  : 0.0
COMET INFO:     avg_Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Specificity  : 0.9807692307692307
COMET INFO:     avg_Phosphorylation-Y(species=tensor(8., device='cuda:0')) AUC PR                  : 0.05324810780063539
COMET INFO:     avg_Phosphorylation-Y(species=tensor(8., device='cuda:0')) AUC ROC                 : 0.5953978906999041
COMET INFO:     avg_Phosphorylation-Y(species=tensor(8., device='cuda:0')) F1                      : 0.09523809523809522
COMET INFO:     avg_Phosphorylation-Y(species=tensor(8., device='cuda:0')) MCC                     : 0.03187909186037006
COMET INFO:     avg_Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Accuracy     : 0.7564102564102564
COMET INFO:     avg_Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Precision    : 0.05714285714285714
COMET INFO:     avg_Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Sensitivity  : 0.2857142857142857
COMET INFO:     avg_Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Specificity  : 0.7785234899328859
COMET INFO:     avg_Validation Loss (Phosphorylation-Y)                                            : 0.45316746830940247
COMET INFO:     avg_Validation Loss (total)                                                        : 0.45316746830940247
COMET INFO:     std_Phosphorylation-Y AUC PR                                                       : 0
COMET INFO:     std_Phosphorylation-Y AUC ROC                                                      : 0
COMET INFO:     std_Phosphorylation-Y F1                                                           : 0
COMET INFO:     std_Phosphorylation-Y MCC                                                          : 0
COMET INFO:     std_Phosphorylation-Y Validation Accuracy                                          : 0
COMET INFO:     std_Phosphorylation-Y Validation Precision                                         : 0
COMET INFO:     std_Phosphorylation-Y Validation Sensitivity                                       : 0
COMET INFO:     std_Phosphorylation-Y Validation Specificity                                       : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(0., device='cuda:0')) AUC PR                  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(0., device='cuda:0')) AUC ROC                 : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(0., device='cuda:0')) F1                      : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(0., device='cuda:0')) MCC                     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Accuracy     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Precision    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Sensitivity  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(0., device='cuda:0')) Validation Specificity  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(12., device='cuda:0')) AUC PR                 : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(12., device='cuda:0')) AUC ROC                : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(12., device='cuda:0')) F1                     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(12., device='cuda:0')) MCC                    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Accuracy    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Precision   : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Sensitivity : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(12., device='cuda:0')) Validation Specificity : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(13., device='cuda:0')) AUC PR                 : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(13., device='cuda:0')) AUC ROC                : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(13., device='cuda:0')) F1                     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(13., device='cuda:0')) MCC                    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Accuracy    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Precision   : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Sensitivity : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(13., device='cuda:0')) Validation Specificity : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(16., device='cuda:0')) AUC PR                 : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(16., device='cuda:0')) AUC ROC                : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(16., device='cuda:0')) F1                     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(16., device='cuda:0')) MCC                    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Accuracy    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Precision   : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Sensitivity : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(16., device='cuda:0')) Validation Specificity : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(2., device='cuda:0')) AUC PR                  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(2., device='cuda:0')) AUC ROC                 : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(2., device='cuda:0')) F1                      : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(2., device='cuda:0')) MCC                     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Accuracy     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Precision    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Sensitivity  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(2., device='cuda:0')) Validation Specificity  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(20., device='cuda:0')) AUC PR                 : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(20., device='cuda:0')) AUC ROC                : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(20., device='cuda:0')) F1                     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(20., device='cuda:0')) MCC                    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Accuracy    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Precision   : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Sensitivity : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(20., device='cuda:0')) Validation Specificity : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(3., device='cuda:0')) AUC PR                  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(3., device='cuda:0')) AUC ROC                 : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(3., device='cuda:0')) F1                      : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(3., device='cuda:0')) MCC                     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Accuracy     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Precision    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Sensitivity  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(3., device='cuda:0')) Validation Specificity  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(4., device='cuda:0')) AUC PR                  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(4., device='cuda:0')) AUC ROC                 : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(4., device='cuda:0')) F1                      : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(4., device='cuda:0')) MCC                     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Accuracy     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Precision    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Sensitivity  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(4., device='cuda:0')) Validation Specificity  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(5., device='cuda:0')) AUC PR                  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(5., device='cuda:0')) AUC ROC                 : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(5., device='cuda:0')) F1                      : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(5., device='cuda:0')) MCC                     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Accuracy     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Precision    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Sensitivity  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(5., device='cuda:0')) Validation Specificity  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(8., device='cuda:0')) AUC PR                  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(8., device='cuda:0')) AUC ROC                 : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(8., device='cuda:0')) F1                      : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(8., device='cuda:0')) MCC                     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Accuracy     : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Precision    : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Sensitivity  : 0
COMET INFO:     std_Phosphorylation-Y(species=tensor(8., device='cuda:0')) Validation Specificity  : 0
COMET INFO:     std_Validation Loss (Phosphorylation-Y)                                            : 0
COMET INFO:     std_Validation Loss (total)                                                        : 0
COMET INFO:   Parameters:
COMET INFO:     CNNType                 : Musite
COMET INFO:     CV_Repeats              : 1
COMET INFO:     CreateFigures           : False
COMET INFO:     Experiment Name         : retestt
COMET INFO:     FCType                  : Adapt
COMET INFO:     LSTM_dropout            : 0
COMET INFO:     LSTM_hidden_size        : 32
COMET INFO:     LSTM_layers             : 1
COMET INFO:     MultiTask_Species       : False
COMET INFO:     MusiteTest              : True
COMET INFO:     SeperateTuningLRandWD   : False
COMET INFO:     SpecieFeatureHoldout    : False
COMET INFO:     TestSet                 : True
COMET INFO:     UseUncertaintyBasedLoss : False
COMET INFO:     ValidationMetric        : Validation Loss (total)
COMET INFO:     WeightDecayWeights      : []
COMET INFO:     aminoAcid               : ['Phosphorylation-Y']
COMET INFO:     batch_size              : 512
COMET INFO:     crossValidation         : False
COMET INFO:     currentFold             : 0
COMET INFO:     current_CV_Repeat       : 1
COMET INFO:     data_sample_mode        : ['balanced']
COMET INFO:     dontAverageLoss         : False
COMET INFO:     earlyStopping           : True
COMET INFO:     earlyStoppingPatience   : 25
COMET INFO:     embeddingType           : adaptiveEmbedding
COMET INFO:     epochs                  : 400
COMET INFO:     folds                   : 5
COMET INFO:     gpu_mode                : True
COMET INFO:     layerToSplitOn          : FC
COMET INFO:     learning_rate           : 0.000198
COMET INFO:     loss_function           : <class 'torch.nn.modules.loss.BCELoss'>
COMET INFO:     onlyPredictHumans       : False
COMET INFO:     optimizer               : <class 'torch.optim.adamw.AdamW'>
COMET INFO:     predictSpecies          : False
COMET INFO:     random_state            : 2627112265
COMET INFO:     sample_weights          : [1.0]
COMET INFO:     specieMetrics           : True
COMET INFO:     species_weight          : 0.15
COMET INFO:     split_2010              : True
COMET INFO:     test_data_ratio         : 0.2
COMET INFO:     useLrWeight             : False
COMET INFO:     useSpecieFeature        : True
COMET INFO:     weight_decay            : 0.161356466
COMET INFO:   Uploads:
COMET INFO:     environment details      : 1
COMET INFO:     filename                 : 1
COMET INFO:     git metadata             : 1
COMET INFO:     git-patch (uncompressed) : 1 (12.20 MB)
COMET INFO:     installed packages       : 1
COMET INFO:     source_code              : 2 (17.90 KB)
COMET INFO: ---------------------------
COMET ERROR: Error sending a notification, make sure you have opted-in for notifications
COMET INFO: Uploading metrics, params, and assets to Comet before program termination (may take several seconds)
COMET INFO: The Python SDK has 3600 seconds to finish before aborting...
COMET INFO: Waiting for completion of the file uploads (may take several seconds)
COMET INFO: The Python SDK has 10800 seconds to finish before aborting...
COMET INFO: Still uploading 1 file(s), remaining 1.92 MB/2.00 MB
